CellId,CellName,XcoordStart,YcoordStart,XcoordEnd,YcoordEnd,XcoordCenter,YcoordCenter
0,c1,12,22,14,26,13,24
1,c2,14,22,16,26,15,24
2,c3,16,22,18,26,17,24
3,c4,18,22,20,26,19,24
4,c5,20,22,22,26,21,24
5,c6,26,22,28,26,27,24
6,c7,28,22,30,26,29,24
7,c8,30,22,32,26,31,24
8,c9,32,22,34,26,33,24
9,c10,34,22,36,26,35,24
10,c11,12,14,14,18,13,16
11,c12,14,14,16,18,15,16
12,c13,16,14,18,18,17,16
13,c14,18,14,20,18,19,16
14,c15,20,14,22,18,21,16
15,c16,26,14,28,18,27,16
16,c17,28,14,30,18,29,16
17,c18,30,14,32,18,31,16
18,c19,32,14,34,18,33,16
19,c20,34,14,36,18,35,16
20,c21,12,6,14,10,13,8
21,c22,14,6,16,10,15,8
22,c23,16,6,18,10,17,8
23,c24,18,6,20,10,19,8
24,c25,20,6,22,10,21,8
25,c26,26,6,28,10,27,8
26,c27,28,6,30,10,29,8
27,c28,30,6,32,10,31,8
28,c29,32,6,34,10,33,8
29,c30,34,6,36,10,35,8
