Partnumber,Part_family,Station,Demand,PartsperModel,Part_volume,Part_weight,partQtyInPallet
1,1,1,43,2,0.00125,0.05,800
2,1,1,28,2,0.00125,0.05,800
3,1,1,129,2,0.00125,0.05,800
4,1,1,143,2,0.00125,0.05,800
5,1,1,7,2,0.00125,0.05,800
6,2,1,78,4,0.00543478,9.85,184
7,2,1,39,4,0.00543478,9.85,184
8,2,1,39,4,0.00543478,9.85,184
9,2,1,388,4,0.00543478,9.85,184
10,2,1,156,4,0.00543478,9.85,184
11,3,1,175,1,0.005,11.5,200
12,4,2,175,1,0.00260417,0.65,384
13,5,2,175,1,0.00208333,0.25,480
14,6,2,2725,20,0.025,0.05,40
15,6,2,775,20,0.025,0.05,40
16,7,2,175,1,0.00520833,1.85,192
17,8,3,147,1,0.0015625,0.05,640
18,8,3,28,1,0.0015625,0.05,640
19,9,3,350,2,0.0142857,0.65,70
