Constraint,Slack
_C1,-0.0
_C2,-0.0
_C3,-0.0
_C4,-0.0
_C5,-0.0
_C6,-0.0
_C7,-0.0
_C8,-0.0
_C9,-0.0
_C10,-0.0
_C11,-0.0
_C12,-0.0
_C13,-0.0
_C14,-0.0
_C15,-0.0
_C16,-0.0
_C17,-0.0
_C18,-0.0
_C19,-0.0
_C20,-0.0
_C21,-0.0
_C22,-0.0
_C23,-0.0
_C24,-0.0
_C25,-0.0
_C26,-0.0
_C27,-0.0
_C28,-0.0
_C29,-0.0
_C30,-0.0
_C31,-0.0
_C32,-0.0
_C33,-0.0
_C34,-0.0
_C35,-0.0
_C36,-0.0
_C37,-0.0
_C38,-0.0
_C39,-0.0
_C40,-1.0
_C41,-1.0
_C42,-1.0
_C43,-1.0
_C44,-0.0
_C45,-1.0
_C46,-1.0
_C47,-1.0
_C48,-1.0
_C49,-0.0
_C50,-1.0
_C51,-1.0
_C52,-1.0
_C53,-1.0
_C54,-0.0
_C55,-1.0
_C56,-1.0
_C57,-1.0
_C58,-1.0
_C59,-0.0
_C60,-1.0
_C61,-1.0
_C62,-1.0
_C63,-1.0
_C64,-0.0
_C65,-1.0
_C66,-1.0
_C67,-1.0
_C68,-1.0
_C69,-0.0
_C70,-1.0
_C71,-1.0
_C72,-1.0
_C73,-1.0
_C74,-0.0
_C75,-1.0
_C76,-1.0
_C77,-1.0
_C78,-1.0
_C79,-0.0
_C80,-1.0
_C81,-1.0
_C82,-1.0
_C83,-1.0
_C84,-0.0
_C85,-1.0
_C86,-1.0
_C87,-1.0
_C88,-1.0
_C89,-0.0
_C90,-1.0
_C91,-1.0
_C92,-1.0
_C93,-1.0
_C94,-0.0
_C95,-1.0
_C96,-1.0
_C97,-1.0
_C98,-1.0
_C99,-0.0
_C100,-1.0
_C101,-1.0
_C102,-1.0
_C103,-1.0
_C104,-0.0
_C105,-1.0
_C106,-1.0
_C107,-1.0
_C108,-1.0
_C109,-0.0
_C110,-1.0
_C111,-1.0
_C112,-1.0
_C113,-1.0
_C114,-0.0
_C115,-1.0
_C116,-1.0
_C117,-1.0
_C118,-1.0
_C119,-0.0
_C120,-1.0
_C121,-1.0
_C122,-1.0
_C123,-1.0
_C124,-0.0
_C125,-1.0
_C126,-1.0
_C127,-1.0
_C128,-1.0
_C129,-0.0
_C130,-1.0
_C131,-1.0
_C132,-1.0
_C133,-1.0
_C134,-0.0
_C135,-1.0
_C136,-1.0
_C137,-1.0
_C138,-1.0
_C139,-0.0
_C140,-1.0
_C141,-1.0
_C142,-1.0
_C143,-1.0
_C144,-0.0
_C145,-1.0
_C146,-1.0
_C147,-1.0
_C148,-1.0
_C149,-0.0
_C150,-1.0
_C151,-1.0
_C152,-1.0
_C153,-1.0
_C154,-0.0
_C155,-1.0
_C156,-1.0
_C157,-1.0
_C158,-1.0
_C159,-0.0
_C160,-1.0
_C161,-1.0
_C162,-1.0
_C163,-1.0
_C164,-0.0
_C165,-1.0
_C166,-1.0
_C167,-1.0
_C168,-1.0
_C169,-0.0
_C170,-1.0
_C171,-1.0
_C172,-1.0
_C173,-1.0
_C174,-0.0
_C175,-1.0
_C176,-1.0
_C177,-1.0
_C178,-1.0
_C179,-0.0
_C180,-1.0
_C181,-1.0
_C182,-1.0
_C183,-1.0
_C184,-0.0
_C185,-1.0
_C186,-1.0
_C187,-1.0
_C188,-1.0
_C189,-0.0
_C190,-1.0
_C191,-1.0
_C192,-1.0
_C193,-1.0
_C194,-0.0
_C195,-1.0
_C196,-1.0
_C197,-1.0
_C198,-1.0
_C199,-0.0
_C200,-1.0
_C201,-1.0
_C202,-1.0
_C203,-1.0
_C204,-0.0
_C205,-1.0
_C206,-1.0
_C207,-1.0
_C208,-1.0
_C209,-0.0
_C210,-1.0
_C211,-1.0
_C212,-1.0
_C213,-1.0
_C214,-0.0
_C215,-1.0
_C216,-1.0
_C217,-1.0
_C218,-1.0
_C219,-0.0
_C220,-1.0
_C221,-1.0
_C222,-1.0
_C223,-1.0
_C224,-0.0
_C225,-1.0
_C226,-1.0
_C227,-1.0
_C228,-1.0
_C229,-0.0
_C230,-1.0
_C231,-1.0
_C232,-1.0
_C233,-1.0
_C234,-0.0
_C235,-1.0
_C236,-1.0
_C237,-1.0
_C238,-1.0
_C239,-0.0
_C240,-1.0
_C241,-1.0
_C242,-1.0
_C243,-1.0
_C244,-0.0
_C245,-1.0
_C246,-1.0
_C247,-1.0
_C248,-1.0
_C249,-0.0
_C250,-1.0
_C251,-1.0
